1	12449354
2	11540422
3	10799303
4	7723596
5	6585534
6	6273787
7	5636622
8	5480734
9	5199213
10	5171023
11	5136971
12	5125336
13	4962958
14	4824711
15	4337167
16	4311116
17	4079651
18	3936220
19	3815114
20	3736761
21	3721849
22	3684615
23	3464017
24	3230760
25	2908518
26	2734045
27	2707070
28	2551658
29	2512555
30	2484373
31	2277584
32	2271709
33	2222695
34	2220048
35	2207283
36	2189294
37	2079784
38	1989680
39	1947969
40	1905230
41	1801225
42	1793228
43	1559858
44	1544797
45	1533796
46	1523776
47	1511782
48	1465005
49	1432186
50	1429399
51	1221541
52	1094897
53	1005986
54	977750
55	974191
56	969650
57	961812
58	926148
59	909127
60	885122
61	872530
62	868685
63	842613
64	828296
65	813873
66	782365
67	766051
68	765624
69	755125
70	743458
71	736449
72	720780
73	699507
74	676579
75	634850
76	621755
77	551504
78	512190
79	496691
80	455855
81	451738
82	449542
83	422859
84	419142
85	398163
86	382481
87	381176
88	359081
89	351620
90	326121
91	321310
92	319259
93	317568
94	314415
95	306058
96	303223
97	297986
98	296327
99	294809
100	293445
101	284860
102	280252
103	278348
104	259790
105	249460
106	247873
107	244688
108	244147
109	236735
110	236094
111	231968
112	228312
113	228138
114	218786
115	210310
116	195130
117	194399
118	187332
119	174710
120	167764
121	166467
122	165764
123	163187
124	157749
125	156574
126	154699
127	149263
128	147653
129	144477
130	143550
131	142206
132	139368
133	135634
134	135244
135	133819
136	129979
137	128873
138	128385
139	127450
140	125917
141	123894
142	122921
143	122764
144	116938
145	115689
146	113534
147	112655
148	111879
149	110161
150	109406
151	109043
152	108565
153	107343
154	106435
155	105530
156	102965
157	102541
158	102334
159	101794
160	98078
161	97218
162	93361
163	93103
164	91910
165	91423
166	89470
167	87133
168	84823
169	84478
170	83157
171	78583
172	73760
173	73515
174	70886
175	69124
176	68971
177	68303
178	66766
179	65407
180	63123
181	62742
182	55521
183	54151
184	53904
185	52492
186	52213
187	51847
188	51473
189	51033
190	50465
191	50434
192	49960
193	47464
194	46349
195	45783
196	45521
197	45334
198	43808
199	43806
200	43038
201	40251
202	39431
203	39323
204	39072
205	38339
206	37541
207	37500
208	37284
209	37173
210	36852
211	36840
212	36664
213	36065
214	35773
215	34926
216	34435
217	33813
218	33784
219	33393
220	33154
221	33116
222	32869
223	32671
224	32180
225	31607
226	30462
227	30230
228	28597
229	28473
230	28287
231	28254
232	28226
233	27760
234	27272
235	26870
236	24789
237	24669
238	24235
239	23336
240	23192
241	23109
242	22689
243	21799
244	21497
245	21328
246	21328
247	20971
248	20700
249	19362
250	18654
251	18538
252	17968
253	17856
254	17443
255	17267
256	16911
257	16333
258	15793
259	15678
260	14858
261	14602
262	14403
263	14346
264	14260
265	14105
266	13839
267	13697
268	13662
269	13177
270	12908
271	12853
272	12574
273	12383
274	12340
275	11882
276	11589
277	11436
278	11386
279	11215
280	11122
281	11087
282	10847
283	9888
284	9273
285	8816
286	8145
287	7507
288	7397
289	7279
290	6579
291	6492
292	6139
293	5522
294	5273
295	4879
296	4415
297	3975
298	3954
299	3877
300	3646
301	3633
302	3571
303	3547
304	3377
305	3372
306	3358
307	3249
308	3142
309	2549
310	2318
311	2049
312	1764
313	1564
314	1551
315	1492
316	1344
317	1310
318	1299
319	1194
320	1148
321	1059
322	895
323	882
324	788
325	782
326	636
327	580
328	579
329	577
330	543
331	542
332	404
333	255
334	239
335	178
336	92
337	25
338	14
339	14
340	13
341	8
342	8
343	4
344	3
345	3
346	2
347	2
348	1
349	1
350	1
351	1
